title,pdf_id,publication_number,organization,scope,unit,issue_date,upsert_date,expiration_date,aux_specific,public_release,pdf_file_name,embedding,gcp_file_id,link,status,status_timestamp,missing_pdf_id,missing_gcp_file_id,duplicate_pdf_id,in_sheet,in_drive,file_name,in_qdrant,record_count,page_count,gcp_file_ids,unique_file_count,zero_record_count,file_ids_match,issues
ALAUX 001/23 EXTENSION TO AUX SOP 004A 04 Sep 20 ELECTION OF UNIT OFFICERS THROUGH THE USE OF ELECTRONIC MEANS,89328d34-2b70-507e-b7ba-889ee6cf3024,ALAUX_001_23,CG-BSX,National,,2023-01-12T00:00:00Z,,2033-01-12T00:00:00Z,TRUE,TRUE,001_23_EXTENSION_TO_AUX_SOP_004A_04_Sep_20__ELECTION_OF_UNIT_OFFICERS_THROUGH_THE_USE_OF_ELECTRONIC_MEANS.pdf,text-embedding-ada-002,1Usl8gU9VM8jX8ODj9EHH_rE4QJuH3tQ5,https://drive.google.com/file/d/1Usl8gU9VM8jX8ODj9EHH_rE4QJuH3tQ5,live,,False,False,False,True,True,,True,1,1.0,['1Usl8gU9VM8jX8ODj9EHH_rE4QJuH3tQ5'],1.0,False,True,[]
ALAUX 003/24 UPDATE RISK MANAGEMENT TRAINING REQUIREMENTS FOR THE COAST GUARD AUXILIARY AND AID TO NAVIGATION VERIFIES QUALIFICATION NAME CHANGE,0309c2d2-9ffc-5f95-9dea-68515ff270c9,ALAUX_003_24,CG-BSX,National,,2024-01-30T00:00:00Z,,2034-01-29T00:00:00Z,TRUE,TRUE,003_24_UPDATE_RISK_MANAGEMENT_TRAINING_REQUIREMENTS_FOR_THE_COAST_GUARD_AUXILIARY_AND_AID_TO_NAVIGATION_VERIFIES_QUALIFICATION_NAME_CHANGE.pdf,text-embedding-ada-002,1U_ogBXiH842fxEOkW2lCeY5pkgHR_g00,https://drive.google.com/file/d/1U_ogBXiH842fxEOkW2lCeY5pkgHR_g00,live,,False,False,False,True,True,,True,2,2.0,['1U_ogBXiH842fxEOkW2lCeY5pkgHR_g00'],1.0,False,True,[]
ALAUX 004/23 AUXILIARY COVID 19 GUIDANCE VERSION 5,a603f875-b49c-5c72-bd01-40401bef19a2,ALAUX_004_23,CG-BSX,National,,2023-01-20T00:00:00Z,,2033-01-20T00:00:00Z,TRUE,TRUE,004_23_AUXILIARY_COVID_19_GUIDANCE_VERSION_5.pdf,text-embedding-ada-002,1ArwnK66rE2O6d5wxxIbjH8Ns1eeijTKG,https://drive.google.com/file/d/1ArwnK66rE2O6d5wxxIbjH8Ns1eeijTKG,live,,False,False,False,True,True,,True,3,3.0,['1ArwnK66rE2O6d5wxxIbjH8Ns1eeijTKG'],1.0,False,True,[]
ALAUX 005/23 BOATING SAFETY APPLICATION FOR SMART PHONES,143b6af4-fbf4-5c48-8c71-a685e3e655eb,ALAUX_005_23,CG-BSX,National,,2023-01-27T00:00:00Z,,2033-01-26T00:00:00Z,TRUE,TRUE,005_23_BOATING_SAFETY_APPLICATION_FOR_SMART_PHONES.pdf,text-embedding-ada-002,13bdh7S3HqVB5H-DSpgZ5CSlXneJmf9UF,https://drive.google.com/file/d/13bdh7S3HqVB5H-DSpgZ5CSlXneJmf9UF,live,,False,False,False,True,True,,True,1,1.0,['13bdh7S3HqVB5H-DSpgZ5CSlXneJmf9UF'],1.0,False,True,[]
ALAUX 006/13 CAMPAIGN TO ELIMINATE SEXUAL ASSAULT 4JUN2013,b15229c0-03ca-5ba3-8466-9c06c0535493,ALAUX_006_13,CG-BSX,National,,2019-11-12T00:00:00Z,,2029-11-12T00:00:00Z,TRUE,TRUE,006_13_CAMPAIGN_TO_ELIMINATE_SEXUAL_ASSAULT___4JUN2013.pdf,text-embedding-ada-002,1NUoA1enlRc6FnvGzAIhb7CYGuxlE0oY3,https://drive.google.com/file/d/1NUoA1enlRc6FnvGzAIhb7CYGuxlE0oY3,live,,False,False,False,True,True,,True,1,1.0,['1NUoA1enlRc6FnvGzAIhb7CYGuxlE0oY3'],1.0,False,True,[]
ALAUX 006/21 AUXDATA II UPDATES FOR PATROL ORDERS PROCESS,5b03ec02-a504-583f-8e1d-a3033a22b21b,ALAUX_006_21,CG-BSX,National,,2021-03-17T00:00:00Z,,2031-03-17T00:00:00Z,TRUE,TRUE,006_21_AUXDATA_II_UPDATES_FOR_PATROL_ORDERS_PROCESS.pdf,text-embedding-ada-002,15HPakEOWjuku2derLDbJ05oH3xNtCABs,https://drive.google.com/file/d/15HPakEOWjuku2derLDbJ05oH3xNtCABs,live,,False,False,False,True,True,,True,3,3.0,['15HPakEOWjuku2derLDbJ05oH3xNtCABs'],1.0,False,True,[]
ALAUX 006/23 MARINE SAFETY ADMINISTRATIVE MANAGEMENT AUX MSAM QUALIFICATION UPDATE,251dd1c6-84d0-5f83-a200-26bd6774858e,ALAUX_006_23,CG-BSX,National,,2023-01-27T00:00:00Z,,2033-01-26T00:00:00Z,TRUE,TRUE,006_23_MARINE_SAFETY_ADMINISTRATIVE_MANAGEMENT__AUX_MSAM__QUALIFICATION_UPDATE.pdf,text-embedding-ada-002,1SfXiNvigVlskHvRvDAgcps9mOZIjzUxC,https://drive.google.com/file/d/1SfXiNvigVlskHvRvDAgcps9mOZIjzUxC,live,,False,False,False,True,True,,True,1,1.0,['1SfXiNvigVlskHvRvDAgcps9mOZIjzUxC'],1.0,False,True,[]
ALAUX 007/20 Auxiliary Telephonic / Electronic Meeting Waiver,ba80a3d7-2372-59ce-8bfe-ff5c8afea68e,ALAUX_007_20,CG-BSX,National,,2020-04-02T00:00:00Z,,2030-04-03T00:00:00Z,TRUE,TRUE,007_20_AUXILIARY_TELEPHONIC___ELECTRONIC_MEETING_WAIVER.pdf,text-embedding-ada-002,1U9Szcky0Ba6Vd15BzP1BLMee7LOaUX37,https://drive.google.com/file/d/1U9Szcky0Ba6Vd15BzP1BLMee7LOaUX37,live,,False,False,False,True,True,,True,1,1.0,['1U9Szcky0Ba6Vd15BzP1BLMee7LOaUX37'],1.0,False,True,[]
ALAUX 007/22 COAST GUARD UNIFORM BOARDS 47 AND 48 AUXILIARY UNIFORM POLICIES,50d8f575-bef1-5b9b-ba21-e971ef4ff47a,ALAUX_007_22,CG-BSX,National,,2022-02-28T00:00:00Z,,2032-02-28T00:00:00Z,TRUE,TRUE,007_22_COAST_GUARD_UNIFORM_BOARDS_47_AND_48_AUXILIARY_UNIFORM_POLICIES.pdf,text-embedding-ada-002,10ynalmODQVNyP_s0y1z70uNP-qoEKJZ5,https://drive.google.com/file/d/10ynalmODQVNyP_s0y1z70uNP-qoEKJZ5,live,,False,False,False,True,True,,True,4,4.0,['10ynalmODQVNyP_s0y1z70uNP-qoEKJZ5'],1.0,False,True,[]
ALAUX 007/23 RESUMPTION OF IN PERSON AUXILIARY C SCHOOLS REVISION TO CG BSX POLICY LETTER 21 01,04cf8f96-0c36-562c-9063-b8f9d232297f,ALAUX_007_23,CG-BSX,National,,2023-01-31T00:00:00Z,,2033-01-30T00:00:00Z,TRUE,TRUE,007_23_RESUMPTION_OF_IN_PERSON_AUXILIARY_C_SCHOOLS_REVISION_TO_CG_BSX_POLICY_LETTER_21_01.pdf,text-embedding-ada-002,1JeihIIbFI60YcX5_RaAx00fmgH4xo4AR,https://drive.google.com/file/d/1JeihIIbFI60YcX5_RaAx00fmgH4xo4AR,live,,False,False,False,True,True,,True,1,1.0,['1JeihIIbFI60YcX5_RaAx00fmgH4xo4AR'],1.0,False,True,[]
ALAUX 009/22 AUXILIARY AVIATION QUALIFICATION SYLLABI UPDATE,18f26c68-9aaa-55be-8712-2506bcc87132,ALAUX_009_22,CG-BSX,National,,2022-03-09T00:00:00Z,,2032-03-09T00:00:00Z,TRUE,TRUE,009_22_AUXILIARY_AVIATION_QUALIFICATION_SYLLABI_UPDATE.pdf,text-embedding-ada-002,1PsVfyxySlGaOj13auguJkLuJAVEJmNZu,https://drive.google.com/file/d/1PsVfyxySlGaOj13auguJkLuJAVEJmNZu,live,,False,False,False,True,True,,True,2,2.0,['1PsVfyxySlGaOj13auguJkLuJAVEJmNZu'],1.0,False,True,[]
ALAUX 01/14 CHIEF DIRECTOR FINAL ACTION ON NATIONAL BOARD RECOMMENDATION,0e3e11bf-dc90-563f-8f15-f7f52b1da0a3,ALAUX_01_14,CG-BSX,National,,2014-02-18T00:00:00Z,,2099-12-31T00:00:00Z,TRUE,TRUE,01_14_CHIEF_DIRECTOR_FINAL_ACTION_ON_NATIONAL_BOARD_RECOMMENDATION___18FEB2014.pdf,text-embedding-ada-002,18n9CEvQrupy4W0p2t-P4smpfMGXjvNE0,https://drive.google.com/file/d/18n9CEvQrupy4W0p2t-P4smpfMGXjvNE0,live,,False,False,False,True,True,,True,1,1.0,['18n9CEvQrupy4W0p2t-P4smpfMGXjvNE0'],1.0,False,True,[]
ALAUX 010/13 TEAM COORDINATION TRAINING TCT 8AUG2013,e3791110-09ae-57b6-9023-b06071bb6907,ALAUX_010_13,CG-BSX,National,,2019-11-12T00:00:00Z,,2029-11-12T00:00:00Z,TRUE,TRUE,010_13_TEAM_COORDINATION_TRAINING__TCT____8AUG2013.pdf,text-embedding-ada-002,13uX2aUGUVLwoEemJN7DKzfjIiOLnxURa,https://drive.google.com/file/d/13uX2aUGUVLwoEemJN7DKzfjIiOLnxURa,live,,False,False,False,True,True,,True,1,1.0,['13uX2aUGUVLwoEemJN7DKzfjIiOLnxURa'],1.0,False,True,[]
